,Name_sesion_es,Lab,Hw,Project,Exam,Ntipo,Name_lab_es,Name_project_es,Sesion,Name_book,Book_url_values,Presentacion,Video,Demostracion,Seccion_lecturas,Tipo_lab,Tipo_hw,Tipo_exam,Tipo_project
55,Comparación de distribución,Lab06,0,0,0,1,Evaluación de modelos,0,17,11.1. Assessing a Model,https://inferentialthinking.com/chapters/11/1/Assessing_a_Model.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,11.1,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab06/lab06.ipynb,,,
56,Comparación de distribución,Lab06,0,0,0,1,Evaluación de modelos,0,17,11.2. Multiple Categories,https://inferentialthinking.com/chapters/11/2/Multiple_Categories.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,11.2,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab06/lab06.ipynb,,,
57,Decisiones e incertidumbre,0,0,0,0,-1,0,0,18,11.3. Decisions and Uncertainty,https://inferentialthinking.com/chapters/11/3/Decisions_and_Uncertainty.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,11.3,,,,
58,Decisiones e incertidumbre,0,0,0,0,-1,0,0,18,11.4. Error Probabilities,https://inferentialthinking.com/chapters/11/4/Error_Probabilities.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,11.4,,,,
59,Pruebas A/B,0,hw07,0,0,0,0,0,19,12. Comparing Two Samples,https://inferentialthinking.com/chapters/12/Comparing_Two_Samples.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,12,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw07/hw07.ipynb,,
60,Pruebas A/B,0,hw07,0,0,0,0,0,19,12.1. A/B Testing,https://inferentialthinking.com/chapters/12/1/AB_Testing.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,12.1,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw07/hw07.ipynb,,
61,Causalidad,0,0,0,0,-1,0,0,20,12.2. Causality,https://inferentialthinking.com/chapters/12/2/Causality.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,12.2,,,,
62,Ejemplos,0,0,0,0,-1,0,0,21,12.3. Deflategate,https://inferentialthinking.com/chapters/12/3/Deflategate.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,12.3,,,,
63,Examen,0,0,0,exam01,4,0,0,22,0,0,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,0,,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=exam/exam01/exam01.ipynb,
64,Intervalos de confianza,Lab07,0,0,0,1,Pruebas A/B,0,23,13. Estimation,https://inferentialthinking.com/chapters/13/Estimation.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,13,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab07/lab07.ipynb,,,
